rank_index,time,class,failures,ranking,nfpa,failure_metric
3.2499053478240967,0.057,0,0,57,0.9694487964677395,0
3.2499053478240967,0.057999999999999996,0,0,56,0.9694487964677395,0
3.2499053478240967,0.094,0,0,49,0.9694487964677395,0
3.1440818309783936,0.085,0,0,50,0.9694487964677395,0
3.1440818309783936,0.061,0,0,55,0.9694487964677395,0
3.1440818309783936,0.065,0,0,54,0.9694487964677395,0
3.1440818309783936,0.073,0,0,53,0.9694487964677395,0
0.7231156826019287,0.27899999999999997,0,0,28,0.9694487964677395,0
0.6277015209197998,0.040999999999999995,0,0,59,0.9694487964677395,0
0.6277015209197998,0.055999999999999994,0,0,58,0.9694487964677395,0
0.559592068195343,0.233,0,0,36,0.9694487964677395,0
0.559592068195343,0.217,0,0,37,0.9694487964677395,0
0.559592068195343,0.146,0,0,44,0.9694487964677395,0
0.4576466679573059,0.17800000000000002,0,0,40,0.9694487964677395,0
0.3598885536193848,0.10300000000000001,0,0,48,0.9694487964677395,0
0.34706446528434753,0.25,0,0,32,0.9694487964677395,0
0.34706446528434753,0.18100000000000002,0,0,39,0.9694487964677395,0
0.3368501663208008,0.261,0,0,30,0.9694487964677395,0
0.3368501663208008,0.147,0,0,43,0.9694487964677395,0
0.3368501663208008,0.154,0,0,42,0.9694487964677395,0
0.1938493400812149,0.08199999999999999,0,0,51,0.9694487964677395,0
0.1641686111688614,0.139,0,0,45,0.9694487964677395,0
0.1641686111688614,0.24,0,0,35,0.9694487964677395,0
0.053586389869451516,0.2,0,0,38,0.9694487964677395,0
0.053586389869451516,0.121,0,0,46,0.9694487964677395,0
0.053586389869451516,0.10400000000000001,0,0,47,0.9694487964677395,0
-0.11217442154884337,0.243,0,0,34,0.9694487964677395,0
-0.17652812600135806,0.079,0,0,52,0.9694487964677395,0
-0.3747918903827667,0.27899999999999997,0,0,27,0.9694487964677395,0
-0.3747918903827667,0.17600000000000002,0,0,41,0.9694487964677395,0
-2.6618916988372803,0.275,0,0,29,0.9694487964677395,0
-2.6618916988372803,0.358,0,0,23,0.9694487964677395,0
-2.6618916988372803,0.36200000000000004,0,0,22,0.9694487964677395,0
-2.672910451889038,0.52,0,0,17,0.9694487964677395,0
