999 qid:1 1:4 2:0 3:1 4:0 5:0 6:0.0 7:0.114 8:0.358616769 9:1 10:1 11:1 12:1 13:5 14:0 15:5 16:0 17:1 18:1 19:1 20:8 21:8 22:4 23:0 24:5 25:0 26:0 27:0 28:5 29:73 30:10 31:44 32:17 33:21 34:19 35:23 36:29 37:12 38:17 39:1 40:1 41:1 42:1 43:0 44:0.43 45:8 46:8 47:8 48:8
993 qid:1 1:4 2:0 3:0 4:0 5:0 6:0.0 7:0.004 8:0.62934736 9:1 10:1 11:1 12:1 13:8 14:0 15:8 16:0 17:2 18:1 19:0 20:3 21:3 22:2 23:0 24:3 25:0 26:0 27:0 28:3 29:60 30:7 31:32 32:13 33:16 34:21 35:10 36:14 37:11 38:3 39:1 40:1 41:3 42:1 43:0 44:0.66 45:3 46:3 47:5 48:3
885 qid:1 1:3 2:0 3:0 4:0 5:0 6:0.0 7:0.121 8:0.62919358 9:1 10:1 11:1 12:1 13:8 14:0 15:7 16:0 17:1 18:0 19:0 20:4 21:4 22:3 23:0 24:3 25:0 26:0 27:0 28:3 29:66 30:9 31:38 32:23 33:20 34:19 35:22 36:29 37:20 38:9 39:3 40:3 41:4 42:1 43:2 44:0.5 45:6 46:6 47:7 48:4
999 qid:1 1:9 2:0 3:0 4:0 5:0 6:0.0 7:0.001 8:0.628426532 9:1 10:1 11:1 12:1 13:6 14:0 15:5 16:0 17:1 18:0 19:1 20:15 21:15 22:9 23:0 24:9 25:0 26:0 27:0 28:9 29:144 30:25 31:89 32:24 33:56 34:30 35:60 36:70 37:15 38:55 39:1 40:1 41:1 42:1 43:0 44:0.34 45:15 46:15 47:15 48:15
946 qid:1 1:38 2:0 3:0 4:0 5:0 6:0.0 7:0.053 8:0.629128981 9:1 10:1 11:1 12:1 13:34 14:5 15:23 16:5 17:1 18:1 19:0 20:2 21:2 22:1 23:0 24:2 25:0 26:0 27:0 28:2 29:104 30:18 31:56 32:13 33:41 34:30 35:9 36:12 37:10 38:2 39:1 40:1 41:1 42:1 43:0 44:0.54 45:2 46:2 47:2 48:2
929 qid:1 1:10 2:0 3:0 4:0 5:0 6:0.0 7:0.063 8:0.62980111 9:1 10:1 11:1 12:1 13:11 14:1 15:10 16:0 17:2 18:1 19:0 20:3 21:3 22:2 23:0 24:3 25:0 26:0 27:0 28:3 29:69 30:11 31:37 32:13 33:21 34:21 35:10 36:14 37:11 38:3 39:1 40:1 41:3 42:1 43:0 44:0.57 45:3 46:3 47:5 48:3
954 qid:2 1:2 2:0 3:0 4:0 5:0 6:0.0 7:0.0 8:0.0 9:1 10:1 11:1 12:1 13:9 14:0 15:9 16:0 17:1 18:2 19:3 20:5 21:5 22:3 23:0 24:5 25:0 26:1 27:0 28:4 29:95 30:11 31:68 32:33 33:40 34:16 35:52 36:58 37:29 38:29 39:1 40:1 41:1 42:1 43:0 44:0.24 45:5 46:5 47:5 48:5
995 qid:2 1:7 2:0 3:0 4:0 5:0 6:0.0 7:0.0 8:0.0 9:1 10:1 11:1 12:1 13:6 14:0 15:6 16:0 17:1 18:0 19:0 20:8 21:8 22:8 23:0 24:8 25:0 26:1 27:0 28:7 29:101 30:12 31:73 32:48 33:38 34:16 35:39 36:49 37:35 38:14 39:2 40:2 41:2 42:1 43:1 44:0.22 45:9 46:9 47:9 48:8
970 qid:2 1:39 2:0 3:0 4:0 5:0 6:0.0 7:0.0 8:0.0 9:1 10:1 11:1 12:1 13:10 14:0 15:7 16:2 17:2 18:0 19:0 20:46 21:46 22:45 23:1 24:45 25:0 26:3 27:1 28:41 29:608 30:72 31:409 32:151 33:247 34:131 35:238 36:293 37:107 38:186 39:9 40:9 41:9 42:1 43:1 44:0.32 45:55 46:55 47:55 48:46
810 qid:2 1:49 2:0 3:0 4:0 5:0 6:0.0 7:0.0 8:0.0 9:1 10:1 11:1 12:1 13:12 14:0 15:9 16:2 17:2 18:0 19:0 20:56 21:56 22:55 23:1 24:55 25:0 26:3 27:1 28:51 29:829 30:96 31:574 32:188 33:376 34:163 35:339 36:410 37:133 38:277 39:9 40:9 41:9 42:1 43:1 44:0.28 45:71 46:71 47:71 48:56
998 qid:2 1:8 2:0 3:0 4:0 5:0 6:0.0 7:0.0 8:0.0 9:1 10:1 11:1 12:1 13:10 14:0 15:8 16:1 17:1 18:0 19:0 20:8 21:8 22:8 23:0 24:8 25:0 26:0 27:0 28:8 29:139 30:16 31:91 32:40 33:52 34:32 35:55 36:67 37:31 38:36 39:2 40:2 41:2 42:1 43:1 44:0.35 45:9 46:9 47:9 48:8
999 qid:2 1:3 2:0 3:0 4:0 5:0 6:0.0 7:0.0 8:0.0 9:2 10:2 11:2 12:1 13:26 14:2 15:20 16:4 17:1 18:0 19:0 20:3 21:3 22:3 23:0 24:3 25:0 26:0 27:0 28:3 29:119 30:14 31:73 32:20 33:51 34:32 35:50 36:58 37:17 38:41 39:3 40:3 41:3 42:1 43:1 44:0.44 45:7 46:7 47:7 48:3
953 qid:3 1:2 2:0 3:0 4:0 5:0 6:0.0 7:0.047 8:0.320853273 9:1 10:1 11:1 12:1 13:9 14:0 15:9 16:0 17:1 18:2 19:3 20:5 21:5 22:3 23:0 24:5 25:0 26:1 27:0 28:4 29:95 30:11 31:68 32:33 33:40 34:16 35:52 36:58 37:29 38:29 39:1 40:1 41:1 42:1 43:0 44:0.24 45:5 46:5 47:5 48:5
966 qid:3 1:39 2:0 3:0 4:0 5:0 6:0.0 7:0.03 8:0.320587504 9:1 10:1 11:1 12:1 13:10 14:0 15:7 16:2 17:2 18:0 19:0 20:46 21:46 22:45 23:1 24:45 25:0 26:3 27:1 28:41 29:608 30:72 31:409 32:151 33:247 34:131 35:238 36:293 37:107 38:186 39:9 40:9 41:9 42:1 43:1 44:0.32 45:55 46:55 47:55 48:46
999 qid:3 1:7 2:0 3:0 4:0 5:0 6:0.0 7:0.005 8:0.321368647 9:1 10:1 11:1 12:1 13:6 14:0 15:6 16:0 17:1 18:0 19:0 20:8 21:8 22:8 23:0 24:8 25:0 26:1 27:0 28:7 29:101 30:12 31:73 32:48 33:38 34:16 35:39 36:49 37:35 38:14 39:2 40:2 41:2 42:1 43:1 44:0.22 45:9 46:9 47:9 48:8
999 qid:3 1:3 2:0 3:0 4:0 5:0 6:0.0 7:0.001 8:0.32020884 9:2 10:2 11:2 12:1 13:26 14:2 15:20 16:4 17:1 18:0 19:0 20:3 21:3 22:3 23:0 24:3 25:0 26:0 27:0 28:3 29:119 30:14 31:73 32:20 33:51 34:32 35:50 36:58 37:17 38:41 39:3 40:3 41:3 42:1 43:1 44:0.44 45:7 46:7 47:7 48:3
991 qid:3 1:8 2:0 3:0 4:0 5:0 6:0.0 7:0.002 8:0.320836437 9:1 10:1 11:1 12:1 13:10 14:0 15:8 16:1 17:1 18:0 19:0 20:8 21:8 22:8 23:0 24:8 25:0 26:0 27:0 28:8 29:139 30:16 31:91 32:40 33:52 34:32 35:55 36:67 37:31 38:36 39:2 40:2 41:2 42:1 43:1 44:0.35 45:9 46:9 47:9 48:8
