test_class_name,cycle_id,tests,failures_0,failures_1,failures_2,failures_3,current_failures,time_0,failures_%,time,time_since,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,A_priority,A_priority_with_time,B_priority,B_priority_with_time,C_priority,C_priority_with_time,D_priority
com/github/javafaker/LoremTest.java,f663405c0ef431f4d63fac6d9cd6825c8ed1f28c,36,0,0,0,0,0,0,0,0.023,0,1,1,1,1,8,0,7,0,1,0,0,7,7,7,0,7,0,0,0,7,84,17,67,28,38,0,45,53,22,31,1,1,1,1,0,0,7,7,7,7,0,1,0,1,0,1,1
com/github/javafaker/InternetTest.java,f663405c0ef431f4d63fac6d9cd6825c8ed1f28c,6,0,0,0,0,0,0,0,0.005,0,1,1,1,1,6,0,5,0,1,0,0,2,2,2,0,2,0,0,0,2,27,8,19,10,7,0,12,15,9,6,1,1,1,1,0,0,2,2,2,2,0,1,0,1,0,1,1
com/github/javafaker/NameTest.java,f663405c0ef431f4d63fac6d9cd6825c8ed1f28c,6,0,0,0,0,0,0,0,0.004,0,1,1,1,1,20,4,16,0,1,0,0,2,2,2,0,2,0,0,0,2,53,13,40,14,28,0,33,36,13,23,1,1,1,1,0,0,2,2,2,2,0,1,0,1,0,1,1
com/github/javafaker/AddressTest.java,f663405c0ef431f4d63fac6d9cd6825c8ed1f28c,60,0,0,0,0,0,0,0,0.101,0,1,1,1,1,8,0,7,0,1,0,0,11,11,11,0,11,0,0,0,11,129,26,103,40,61,0,68,80,29,51,1,1,1,1,0,0,11,11,11,11,0,0,0,0,0,0,0
com/github/javafaker/BothifyTest.java,f663405c0ef431f4d63fac6d9cd6825c8ed1f28c,1,0,0,0,0,0,0.003,0,0,0.461876098,1,1,1,1,3,0,3,0,1,0,0,1,1,1,1,1,0,0,0,1,13,3,10,7,2,0,5,7,6,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1
com/github/javafaker/RandomFakerTest.java,f663405c0ef431f4d63fac6d9cd6825c8ed1f28c,3,0,0,0,0,0,0.418,0,0.397,0.46300294,1,1,1,1,6,0,5,0,1,0,1,5,5,5,2,5,0,1,0,4,56,13,43,25,19,0,27,33,21,12,1,1,1,1,0,0,5,5,5,5,0,0,0,0,0,0,0
com/github/javafaker/PhoneNumberTest.java,f663405c0ef431f4d63fac6d9cd6825c8ed1f28c,6,0,0,0,0,0,0,0,0.001,0,1,1,1,1,4,0,4,0,1,0,0,2,2,2,0,2,0,0,0,2,21,5,16,10,4,0,9,12,9,3,1,1,1,1,0,0,2,2,2,2,0,1,0,1,0,1,1
com/github/javafaker/RandomFakerTest.java,c68b61da474eb30896e8dc95e2c78558dcccb78d,3,0,0,0,0,0,0.397,0,0.286,0.378033821,1,1,1,1,6,0,5,0,1,0,1,5,5,5,2,5,0,1,0,4,56,13,43,25,19,0,27,33,21,12,1,1,1,1,0,0,5,5,5,5,0,0,0,0,0,0,0
com/github/javafaker/NameTest.java,c68b61da474eb30896e8dc95e2c78558dcccb78d,6,0,0,0,0,0,0.004,0,0.014,0.379447655,1,1,1,1,22,4,17,0,1,0,0,2,2,2,0,2,0,0,0,2,57,14,43,15,31,0,36,39,14,25,1,1,1,1,0,0,2,2,2,2,0,1,0,1,0,1,1
com/github/javafaker/AddressTest.java,c68b61da474eb30896e8dc95e2c78558dcccb78d,60,0,0,0,0,0,0.101,0,0.053,0.379449594,1,1,1,1,8,0,7,0,1,0,0,11,11,11,0,11,0,0,0,11,129,26,103,40,61,0,68,80,29,51,1,1,1,1,0,0,11,11,11,11,0,0,0,0,0,0,0
