Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
SMOTE,SMOTE,7.169434939432312,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.2115872197789943,0.0635175069814845,0.7997138805836377,4.977072,20
SMOTE,SMOTE,7.22898812776781,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.221651980356229,2.4016391656054344e-05,0.8063567348318806,4.9455447,19
SMOTE,SMOTE,7.139831441667488,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.2065840935723315,0.003992555770435973,0.7964117614799208,4.9408283,21
SMOTE,SMOTE,6.96089984999354,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.1763438380925362,0.0,0.7764528555486381,4.924258,23
SMOTE,SMOTE,6.882443215089072,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.1630843087863898,0.0,0.7677014183032986,4.9178843,24
SMOTE,SMOTE,6.6813646046556565,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.1291011060766694,0.016447679073364856,0.7452721254495991,4.910553,28
SMOTE,SMOTE,6.725963195571621,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.1366384714503328,0.0,0.7502468706716813,4.904968,25
SMOTE,SMOTE,6.721988540232025,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.1359667365610988,0.00039815350813006265,0.7498035181519269,4.9048624,26
SMOTE,SMOTE,6.713772160914007,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.1345781309640026,0.0,0.7488870229686565,4.9039497,27
SMOTE,SMOTE,6.6745473216917715,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.1279489541476706,0.0014673514508770145,0.7445116923247931,4.901496,29
SMOTE,SMOTE,6.535715352584733,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.1044857178612015,0.0,0.7290256946552965,4.8888927,30
SMOTE,SMOTE,6.523443230927894,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.1024116733019929,8.175120933988925e-05,0.7276568021113101,4.8878875,31
SMOTE,SMOTE,6.47490035761691,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0942077062053248,0.00034616132438516835,0.7222420923164429,4.883862,32
SMOTE,SMOTE,6.419710017440496,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.084880286875189,0.0,0.7160858915159506,4.878886,33
SMOTE,SMOTE,6.328296117988748,SMOTE,SMOTE,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0694309207349575,0.0,0.7058891375336027,4.870892,36
SMOTE,SMOTE,7.022933579104517,SMOTE,SMOTE,1.0,1,1.0,0.0,0.0,1.0,1.0,1.1868878213798402,0.0,0.783372401461742,3.4242013,22
SMOTE,SMOTE,6.358655650713072,SMOTE,SMOTE,1.0,1,1.0,1.0,0.0,1.0,0.0,1.074581820299657,0.00020280253346035524,0.7092755884788705,3.408507,34
