rank_index,time,class,failures,ranking,nfpa,failure_metric,DDP
3.1238145157295683,6.954,0,0,1,0.6672268907563025,0.23529411764705882,0.17647058823529413
2.5772939082151827,4.004,0,0,2,0.6672268907563025,0.23529411764705882,0.17647058823529413
2.435857233243345,0.0,1,0,15,0.6672268907563025,0.23529411764705882,0.17647058823529413
2.289489582763437,6.659,2,1,17,0.6672268907563025,0.23529411764705882,0.17647058823529413
2.093615067428237,0.018000000000000002,0,0,6,0.6672268907563025,0.23529411764705882,0.17647058823529413
2.0685090121570875,0.024,0,0,5,0.6672268907563025,0.23529411764705882,0.17647058823529413
1.8985790682916437,0.21600000000000003,0,0,4,0.6672268907563025,0.23529411764705882,0.17647058823529413
1.627077656220029,2.189,0,0,3,0.6672268907563025,0.23529411764705882,0.17647058823529413
1.6122896925645105,0.011000000000000001,0,0,7,0.6672268907563025,0.23529411764705882,0.17647058823529413
1.5929818804518818,0.001,0,0,9,0.6672268907563025,0.23529411764705882,0.17647058823529413
1.4813240801522132,0.001,0,0,10,0.6672268907563025,0.23529411764705882,0.17647058823529413
1.3283929420748852,0.0,1,0,12,0.6672268907563025,0.23529411764705882,0.17647058823529413
1.3100455635810286,0.0,1,0,16,0.6672268907563025,0.23529411764705882,0.17647058823529413
1.3083254564136249,0.002,0,0,8,0.6672268907563025,0.23529411764705882,0.17647058823529413
1.2940230811391296,0.0,1,0,13,0.6672268907563025,0.23529411764705882,0.17647058823529413
1.2921505944937657,0.0,1,0,14,0.6672268907563025,0.23529411764705882,0.17647058823529413
0.8517071472742,0.001,0,0,11,0.6672268907563025,0.23529411764705882,0.17647058823529413
rank_index,time,class,failures,ranking,nfpa,failure_metric,DDP
4.452347002995666,0.001,0,0,16,0.7965610859728506,0.24,0.2
4.450514898758071,7.66,0,0,1,0.7965610859728506,0.24,0.2
4.135588149710402,0.001,0,0,17,0.7965610859728506,0.24,0.2
3.931966409021087,0.001,0,0,8,0.7965610859728506,0.24,0.2
3.913598416807576,0.0,1,0,23,0.7965610859728506,0.24,0.2
3.739748233826648,7.0,2,1,25,0.7965610859728506,0.24,0.2
3.726198756263019,0.001,0,0,12,0.7965610859728506,0.24,0.2
3.694256298095364,0.006,0,0,7,0.7965610859728506,0.24,0.2
3.6573463207468464,0.0,1,0,22,0.7965610859728506,0.24,0.2
3.6440818302009648,0.0,1,0,19,0.7965610859728506,0.24,0.2
3.6431442944311554,0.0,1,0,18,0.7965610859728506,0.24,0.2
3.572727977054972,0.013000000000000001,0,0,6,0.7965610859728506,0.24,0.2
3.3725994935021872,0.188,0,0,4,0.7965610859728506,0.24,0.2
3.112889357201399,1.841,0,0,3,0.7965610859728506,0.24,0.2
3.064534897470718,0.001,0,0,14,0.7965610859728506,0.24,0.2
2.9571459665802413,0.001,0,0,11,0.7965610859728506,0.24,0.2
2.8063823636632663,0.0,1,0,21,0.7965610859728506,0.24,0.2
2.785609038328014,0.0,1,0,24,0.7965610859728506,0.24,0.2
2.77359137793767,0.0,1,0,20,0.7965610859728506,0.24,0.2
2.770955841526607,0.001,0,0,10,0.7965610859728506,0.24,0.2
2.348514217663132,3.718,0,0,2,0.7965610859728506,0.24,0.2
2.3451295089771023,0.022000000000000002,0,0,5,0.7965610859728506,0.24,0.2
1.8933741406932505,0.001,0,0,13,0.7965610859728506,0.24,0.2
1.5857404091902252,0.001,0,0,15,0.7965610859728506,0.24,0.2
1.1337854104912914,0.001,0,0,9,0.7965610859728506,0.24,0.2
rank_index,time,class,failures,ranking,nfpa,failure_metric,DDP
2.5406106143888367,7.732,0,0,1,0.6851588430535799,0.2777777777777778,0.2222222222222222
2.3300226525870893,4.236000000000001,0,0,2,0.6851588430535799,0.2777777777777778,0.2222222222222222
2.1568646021136173,0.034,0,0,5,0.6851588430535799,0.2777777777777778,0.2222222222222222
1.9491255100910028,0.0,1,0,16,0.6851588430535799,0.2777777777777778,0.2222222222222222
1.8008654240726658,6.922999999999999,2,1,18,0.6851588430535799,0.2777777777777778,0.2222222222222222
1.6896224194609113,0.002,0,0,8,0.6851588430535799,0.2777777777777778,0.2222222222222222
1.6038273399527498,0.019,0,0,6,0.6851588430535799,0.2777777777777778,0.2222222222222222
1.5981401530582215,0.0,1,0,17,0.6851588430535799,0.2777777777777778,0.2222222222222222
1.4064052008862455,0.198,0,0,4,0.6851588430535799,0.2777777777777778,0.2222222222222222
1.3994383637284102,0.002,0,0,7,0.6851588430535799,0.2777777777777778,0.2222222222222222
1.1212256053037195,2.14,0,0,3,0.6851588430535799,0.2777777777777778,0.2222222222222222
1.1036351934873587,0.001,0,0,11,0.6851588430535799,0.2777777777777778,0.2222222222222222
