test_id,test_suite,avg_exec_time,verdict,last_exec_time,cycle_id,failure_history,age,complexity_metrics,other_metrics,failure_metric
org/apache/commons/csv/issues/JiraCsv213Test.java,org/apache/commons/csv/issues/JiraCsv213Test.java,0.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,"[0, 0, 0, 0]",0,"[2, 2, 2, 2, 14, 1, 11, 2, 1, 0, 0, 2, 2, 2, 0, 2, 0, 1, 0, 1, 74, 7, 39, 20, 16, 29, 20, 25, 17, 8, 3, 3, 3, 3, 2, 0.74, 4, 4, 4, 4]","[0.0, 1.07261076, 1]",0.6923076923076923
org/apache/commons/csv/CSVFormatPredefinedTest.java,org/apache/commons/csv/CSVFormatPredefinedTest.java,0.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 3, 0, 3, 0, 1, 0, 0, 9, 9, 9, 0, 9, 0, 1, 0, 8, 72, 12, 41, 21, 10, 19, 13, 23, 13, 10, 1, 1, 1, 1, 0, 0.46, 9, 9, 9, 9]","[0.0, 1.071999339, 8]",0.6923076923076923
org/apache/commons/csv/issues/JiraCsv167Test.java,org/apache/commons/csv/issues/JiraCsv167Test.java,0.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,"[0, 0, 0, 0]",0,"[3, 3, 3, 1, 26, 0, 24, 2, 1, 0, 0, 2, 2, 2, 0, 2, 0, 1, 0, 1, 88, 5, 64, 24, 38, 21, 42, 53, 24, 29, 6, 6, 6, 1, 4, 0.33, 7, 7, 7, 2]","[0.0, 1.074363601, 1]",0.6923076923076923
org/apache/commons/csv/LexerTest.java,org/apache/commons/csv/LexerTest.java,0.001,0,0.002,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 10, 0, 9, 1, 1, 0, 0, 28, 28, 28, 1, 28, 0, 1, 0, 27, 390, 36, 312, 97, 181, 73, 160, 215, 67, 148, 1, 1, 1, 1, 1, 0.23, 28, 28, 28, 28]","[0.0, 1.074524848, 26]",0.6923076923076923
org/apache/commons/csv/issues/JiraCsv203Test.java,org/apache/commons/csv/issues/JiraCsv203Test.java,0.001,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 12, 2, 9, 0, 1, 0, 0, 7, 7, 7, 0, 7, 0, 0, 0, 7, 127, 23, 83, 49, 54, 21, 41, 49, 35, 14, 1, 1, 1, 1, 0, 0.25, 7, 7, 7, 7]","[0.0, 1.073277394, 7]",0.6923076923076923
org/apache/commons/csv/issues/JiraCsv164Test.java,org/apache/commons/csv/issues/JiraCsv164Test.java,0.001,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 12, 0, 12, 0, 1, 0, 0, 2, 2, 2, 0, 2, 0, 0, 0, 2, 57, 7, 34, 21, 18, 16, 20, 25, 17, 8, 1, 1, 1, 1, 1, 0.47, 2, 2, 2, 2]","[0.0, 1.0717711490000001, 2]",0.6923076923076923
org/apache/commons/csv/CSVRecordTest.java,org/apache/commons/csv/CSVRecordTest.java,0.005,0,0.001,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 5, 0, 5, 0, 2, 0, 0, 21, 19, 21, 5, 21, 0, 1, 0, 20, 196, 27, 150, 67, 67, 19, 81, 108, 50, 58, 2, 2, 2, 1, 1, 0.13, 23, 23, 23, 21]","[0.0, 1.07300837, 17]",0.6923076923076923
org/apache/commons/csv/CSVFileParserTest.java,org/apache/commons/csv/CSVFileParserTest.java,0.004,0,0.006999999999999999,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,"[0, 0, 0, 0]",0,"[4, 4, 4, 1, 19, 0, 17, 1, 2, 1, 1, 6, 6, 5, 2, 6, 0, 1, 0, 5, 175, 17, 134, 58, 78, 26, 81, 111, 59, 52, 9, 9, 9, 1, 4, 0.19, 25, 25, 27, 6]","[0.0, 1.076141055, 12]",0.6923076923076923
org/apache/commons/csv/CSVFormatTest.java,org/apache/commons/csv/CSVFormatTest.java,0.015,1,0.018000000000000002,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 14, 3, 11, 0, 3, 2, 0, 62, 58, 60, 3, 62, 0, 2, 0, 60, 1099, 297, 779, 226, 577, 25, 531, 594, 150, 444, 2, 2, 2, 1, 1, 0.03, 63, 63, 63, 62]","[0.017857143, 1.0792707879999999, 56]",0.6923076923076923
org/apache/commons/csv/CSVParserTest.java,org/apache/commons/csv/CSVParserTest.java,0.122,0,0.109,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 12, 0, 10, 0, 1, 0, 6, 80, 80, 80, 0, 80, 0, 5, 0, 75, 1202, 150, 992, 383, 611, 102, 518, 713, 295, 418, 10, 10, 10, 7, 3, 0.1, 120, 120, 120, 86]","[0.0, 1.0760841490000002, 75]",0.6923076923076923
org/apache/commons/csv/issues/JiraCsv198Test.java,org/apache/commons/csv/issues/JiraCsv198Test.java,0.439,0,0.34,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,"[0, 0, 0, 0]",0,"[2, 2, 2, 1, 11, 0, 11, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 47, 6, 25, 16, 8, 16, 15, 20, 16, 4, 2, 2, 2, 1, 2, 0.64, 2, 2, 2, 1]","[0.0, 1.071383333, 1]",0.6923076923076923
org/apache/commons/csv/CSVPrinterTest.java,org/apache/commons/csv/CSVPrinterTest.java,5.541,0,4.748,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 10, 0, 10, 0, 1, 1, 5, 101, 101, 100, 1, 101, 0, 10, 0, 91, 1385, 142, 1210, 390, 744, 33, 650, 876, 297, 579, 11, 3, 11, 1, 2, 0.03, 120, 112, 121, 101]","[0.0, 1.078066047, 91]",0.6923076923076923
org/apache/commons/csv/perf/PerformanceTest.java,org/apache/commons/csv/perf/PerformanceTest.java,49.163999999999994,0,48.123000000000005,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 8, 0, 8, 0, 1, 1, 1, 8, 8, 7, 1, 8, 0, 4, 0, 4, 129, 14, 93, 43, 43, 23, 55, 75, 43, 32, 4, 4, 4, 1, 3, 0.25, 15, 15, 15, 8]","[0.0, 1.077237105, 2]",0.6923076923076923
test_id,test_suite,avg_exec_time,verdict,last_exec_time,cycle_id,failure_history,age,complexity_metrics,other_metrics,failure_metric
