test_class_name,cycle_id,tests,failures_0,failures_1,failures_2,failures_3,current_failures,failures_%,time_0,time,time_since,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,A,A_WITH_TIME,B,B_WITH_TIME,C,C_WITH_TIME,D,new_test_target_flag
org/apache/commons/compress/archivers/arj/ArjArchiveInputStreamTest.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,3,0,0,0,0,0,0.0,0.0,0.01,0.0,1,1,1,1,15,1,14,0,1,0,0,3,3,3,0,3,0,0,0,3,78,10,50,20,33,19,38,44,20,24,3,3,3,1,2,0.38,5,5,5,3,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1
org/apache/commons/compress/DetectArchiverTestCase.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,6,0,0,0,0,0,0.0,0.0,0.011,0.0,1,1,1,1,9,0,7,0,1,0,0,9,9,9,1,9,0,2,0,7,137,22,83,34,47,35,50,64,33,31,4,4,4,1,1,0.42,13,13,13,9,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1
org/apache/commons/compress/changes/ChangeSetTestCase.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,28,0,0,0,0,0,0.0,0.0,0.243,0.0,3,3,3,1,39,5,28,5,1,0,0,30,30,30,0,30,0,2,0,28,1265,203,870,302,701,196,582,701,300,401,5,5,5,1,2,0.23,91,91,91,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
org/apache/commons/compress/archivers/ZipTestCase.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,13,0,0,0,0,0,0.0,0.0,0.052000000000000005,0.0,1,1,1,1,24,1,20,2,2,0,0,19,19,19,3,19,0,5,0,14,541,49,424,149,331,69,309,355,144,211,4,4,4,1,3,0.16,35,35,35,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
org/apache/commons/compress/archivers/LongPathTest.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,25,0,0,0,0,0,0.0,0.0,0.013,0.0,3,3,4,2,17,0,16,1,1,2,1,6,6,4,2,6,0,1,1,4,164,14,123,48,71,30,74,100,49,51,12,12,14,5,4,0.24,23,23,25,12,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1
org/apache/commons/compress/archivers/ArchiveStreamFactoryTest.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,7,0,0,0,0,0,0.0,0.0,0.002,0.0,1,1,1,1,14,0,12,2,1,0,0,7,7,7,0,7,0,0,0,7,150,11,105,35,61,34,44,62,28,34,2,2,2,1,3,0.32,11,11,11,7,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1
org/apache/commons/compress/compressors/Pack200TestCase.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,11,0,0,0,0,0,0.0,0.0,0.117,0.0,1,1,1,1,12,0,11,0,1,0,0,13,13,13,0,13,0,2,0,11,213,24,169,68,108,20,102,126,61,65,4,4,4,3,3,0.12,16,16,16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
org/apache/commons/compress/archivers/ArTestCase.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,5,0,0,0,0,0,0.0,0.0,0.015,0.0,3,3,3,1,45,3,40,0,1,0,0,7,7,7,0,7,0,0,0,7,362,37,300,87,242,25,217,246,85,161,6,6,6,5,2,0.08,24,24,24,11,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1
org/apache/commons/compress/archivers/DumpTestCase.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,6,0,0,0,0,0,0.0,0.0,0.025,0.0,1,1,1,1,8,0,8,0,1,0,0,9,9,9,0,9,0,3,0,6,119,13,88,29,50,18,46,63,29,34,5,5,5,3,3,0.2,13,13,13,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
org/apache/commons/compress/archivers/ExceptionMessageTest.java,5b5b85236d6d0fb695d6e0be6781f749882ab0c0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,3,1,10,0,10,0,1,0,3,4,4,4,0,4,0,0,0,4,77,11,48,11,31,18,22,31,11,20,3,3,3,1,1,0.38,12,12,12,4,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1
