test_class_name,cycle_id,tests,failures_0,failures_1,failures_2,failures_3,current_failures,failures_%,time_0,time,time_since,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,A,A_WITH_TIME,B,B_WITH_TIME,C,C_WITH_TIME,D,new_test_target_flag
org/apache/commons/io/DirectoryWalkerTestCase.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,15,0,0,0,0,0,0.0,0.0,0.018000000000000002,0.0,1,1,1,1,9,0,7,1,6,1,20,41,41,40,6,41,2,5,19,15,575,72,370,148,203,133,197,268,125,143,6,6,6,1,2,0.36,67,67,67,41,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1
org/apache/commons/io/FileUtilsTestCase.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,131,0,0,0,0,0,0.0,0.0,2.399,0.0,1,1,1,1,15,1,12,1,5,0,4,146,146,146,4,146,3,2,4,137,2597,402,1897,626,1480,304,1231,1475,588,887,15,15,15,1,3,0.16,234,234,236,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
org/apache/commons/io/filefilter/FileFilterTestCase.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,47,0,0,0,0,0,0.0,0.0,2.083,0.0,2,2,2,1,23,3,18,1,1,0,2,51,51,51,0,51,0,0,0,51,1316,238,979,244,806,120,707,809,231,578,7,7,7,1,2,0.12,103,103,104,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
org/apache/commons/io/DirectoryWalkerTestCaseJava4.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,14,0,0,0,0,0,0.0,0.0,0.024,0.0,1,1,1,1,9,0,7,2,5,1,20,39,39,38,6,39,2,4,18,15,532,68,337,129,194,128,190,252,118,134,6,6,6,1,2,0.38,63,63,63,39,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1
org/apache/commons/io/monitor/FileAlterationObserverTestCase.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,7,0,0,0,0,0,0.0,0.0,13.888,0.0,1,1,1,1,35,3,27,4,1,0,0,10,10,10,0,10,0,0,2,8,400,48,287,55,252,68,247,263,54,209,2,2,2,1,1,0.24,15,15,15,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
org/apache/commons/io/FileUtilsListFilesTestCase.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,3,0,0,0,0,0,0.0,0.0,0.03,0.0,1,1,1,1,17,1,14,1,1,0,0,9,9,9,0,9,0,3,2,4,203,28,145,35,107,30,114,129,34,95,2,2,2,1,1,0.21,13,13,13,9,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1
org/apache/commons/io/FileUtilsCleanDirectoryTestCase.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,5,0,0,0,0,0,0.0,0.0,0.085,0.0,1,1,1,1,10,1,7,1,1,0,0,10,10,10,1,10,0,2,2,6,153,31,89,26,51,33,46,63,23,40,3,3,4,1,1,0.37,16,16,18,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
org/apache/commons/io/FileUtilsFileNewerTestCase.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,5,0,0,0,0,0,0.0,0.0,0.013999999999999999,0.0,1,1,1,1,12,0,6,5,1,0,2,9,9,9,2,9,0,0,3,6,162,20,69,24,39,73,37,52,22,30,2,2,2,1,1,1.06,14,14,14,9,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1
org/apache/commons/io/FileUtilsDirectoryContainsTestCase.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,10,0,0,0,0,0,0.0,0.0,0.04,0.0,1,1,1,1,8,0,6,0,1,0,0,13,13,13,9,13,0,0,2,11,172,24,117,45,61,31,68,85,33,52,2,2,2,1,1,0.26,16,16,16,13,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1
org/apache/commons/io/input/TailerTest.java,8d0e9d6cdb87188005ebc9fe839e0159031b832e,9,0,0,0,0,0,0.0,0.0,21.529,0.0,1,1,1,1,16,1,14,1,2,0,0,21,21,21,6,21,0,2,2,17,434,60,326,114,242,55,242,283,115,168,4,4,4,1,3,0.17,32,32,34,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
