test_class_name,cycle_id,tests,failures_0,failures_1,failures_2,failures_3,current_failures,failures_%,time_0,time,time_since,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,A,A_WITH_TIME,B,B_WITH_TIME,C,C_WITH_TIME,D,new_test_target_flag
org/apache/commons/codec/language/bm/LanguageGuessingTest.java,b90ffb4daae5a1767fc6dc987468d300e5a4bcde,16,0,0,0,0,0,0.0,0.0,0.091,0.0,1,1,1,1,10,0,8,1,1,1,2,3,3,2,4,3,0,0,0,3,83,13,46,24,22,25,23,28,21,7,2,2,2,1,1,0.54,4,4,4,3,0,0,0,0,0,0,0,1
org/apache/commons/codec/language/bm/BeiderMorseEncoderTest.java,b90ffb4daae5a1767fc6dc987468d300e5a4bcde,13,0,0,0,0,0,0.0,0.0,0.006999999999999999,0.0,1,1,1,1,4,0,4,0,1,0,0,10,10,10,0,10,0,0,1,9,104,14,62,36,21,28,29,40,25,15,1,1,1,1,0,0.45,10,10,10,10,0,1,0,1,0,1,1,1
org/apache/commons/codec/language/bm/PhoneticEngineTest.java,b90ffb4daae5a1767fc6dc987468d300e5a4bcde,6,0,0,0,0,0,0.0,0.0,0.131,0.0,1,1,1,1,9,0,8,0,1,1,0,3,3,2,5,3,0,0,0,3,76,11,43,21,20,22,21,25,18,7,1,1,1,1,0,0.51,3,3,3,3,0,0,0,0,0,0,0,1
org/apache/commons/codec/language/bm/BeiderMorseEncoderTest.java,5a9c79f6d7f0c2849320d573fc1f92fd89c570b8,13,0,0,0,0,0,0.0,0.006999999999999999,0.011000000000000001,0.14636913099999999,1,1,1,1,4,0,4,0,1,0,0,10,10,10,0,10,0,0,1,9,104,14,62,36,21,28,29,40,25,15,1,1,1,1,0,0.45,10,10,10,10,0,1,0,1,0,1,1,0
org/apache/commons/codec/language/bm/RuleTest.java,5a9c79f6d7f0c2849320d573fc1f92fd89c570b8,2,0,0,0,0,0,0.0,0.0,0.168,0.0,1,1,1,1,6,0,6,0,1,1,0,3,3,2,4,3,0,0,0,3,68,10,36,20,12,22,19,23,17,6,1,1,1,1,0,0.61,3,3,3,3,0,0,0,0,0,0,0,1
org/apache/commons/codec/language/bm/PhoneticEngineTest.java,5a9c79f6d7f0c2849320d573fc1f92fd89c570b8,6,0,0,0,0,0,0.0,0.131,0.06,0.146767811,1,1,1,1,9,0,8,0,1,1,0,3,3,2,5,3,0,0,0,3,76,11,43,21,20,22,21,25,18,7,1,1,1,1,0,0.51,3,3,3,3,0,0,0,0,0,0,0,0
org/apache/commons/codec/language/bm/BeiderMorseEncoderTest.java,d61d1cf0652ef679bf18e3668ebe99a17a0d0f85,13,0,0,0,0,0,0.0,0.011000000000000001,0.011000000000000001,0.146148133,1,1,1,1,4,0,4,0,1,0,0,10,10,10,0,10,0,0,1,9,104,14,62,36,21,28,29,40,25,15,1,1,1,1,0,0.45,10,10,10,10,0,1,0,1,0,1,1,0
org/apache/commons/codec/language/bm/RuleTest.java,d61d1cf0652ef679bf18e3668ebe99a17a0d0f85,2,0,0,0,0,0,0.0,0.168,0.16699999999999998,0.146147939,1,1,1,1,6,0,6,0,1,1,0,3,3,2,4,3,0,0,0,3,68,10,36,20,12,22,19,23,17,6,1,1,1,1,0,0.61,3,3,3,3,0,0,0,0,0,0,0,0
org/apache/commons/codec/language/bm/PhoneticEngineTest.java,d61d1cf0652ef679bf18e3668ebe99a17a0d0f85,6,0,0,0,0,0,0.0,0.06,0.054000000000000006,0.146153688,1,1,1,1,9,0,8,0,1,1,0,3,3,2,5,3,0,0,0,3,76,11,43,21,20,22,21,25,18,7,1,1,1,1,0,0.51,3,3,3,3,0,0,0,0,0,0,0,0
org/apache/commons/codec/language/bm/PhoneticEngineTest.java,925e8044356673d0bd6bd5caa8cfabe37c7c1337,6,0,0,0,0,0,0.0,0.054000000000000006,0.209,0.13869307,1,1,1,1,9,0,8,0,1,1,0,3,3,2,5,3,0,0,0,3,76,11,43,21,20,22,21,25,18,7,1,1,1,1,0,0.51,3,3,3,3,0,0,0,0,0,0,0,0
