Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature
1,1,0.023,2014-04-23,"[0, 0, 0]",0,1,0,0,0,0,0,0.0579345088161209,1.0,0.00039995131027527087
2,2,0.005,2014-04-23,"[0, 0, 0]",0,1,0,0,0,0,0,0.012594458438287152,1.0,8.694593701636322e-05
3,3,0.004,2014-04-23,"[0, 0, 0]",0,1,0,0,0,0,0,0.010075566750629723,1.0,6.955674961309059e-05
4,4,0.101,2014-04-23,"[0, 0, 0]",0,1,0,0,0,0,0,0.25440806045340053,1.0,0.0017563079277305373
5,5,0.0,2014-04-23,"[0, 0, 0]",0,1,0,0,0,0,0,0.0,1.0,0.0
6,6,0.397,2014-04-23,"[0, 0, 0]",0,1,0,0,0,0,0,1.0,1.0,0.00690350739909924
7,7,0.001,2014-04-23,"[0, 0, 0]",0,1,0,0,0,0,0,0.0025188916876574307,1.0,1.7389187403272648e-05
8,6,0.28600000000000003,2014-04-23,"[0, 0, 0]",0,2,0,0,0,0,0,1.0,0.0,0.004973307597335977
9,3,0.014,2014-04-23,"[0, 0, 0]",0,2,0,0,0,0,0,0.048951048951048945,0.0,0.00024344862364581704
10,4,0.053,2014-04-23,"[0, 0, 0]",0,2,0,0,0,0,0,0.18531468531468528,0.0,0.0009216269323734502
11,5,0.001,2014-04-23,"[0, 0, 0]",0,2,0,0,0,0,0,0.003496503496503496,0.0,1.7389187403272648e-05
12,2,0.01,2014-04-23,"[0, 0, 0]",0,2,0,0,0,0,0,0.03496503496503496,0.0,0.00017389187403272645
13,1,0.025,2014-04-23,"[0, 0, 0]",0,2,0,0,0,0,0,0.08741258741258741,0.0,0.00043472968508181616
14,7,0.002,2014-04-23,"[0, 0, 0]",0,2,0,0,0,0,0,0.006993006993006992,0.0,3.4778374806545295e-05
15,2,0.0,2014-04-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0,0.0003348961821835231,0.0
16,3,0.005,2014-04-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.010660980810234543,0.0003348961821835231,8.694593701636322e-05
17,5,0.0,2014-04-24,"[0, 0, 0]",0,3,0,0,0,0,0,0.0,0.0003348961821835231,0.0
